time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446604767	8.31465	-6.47038	-2.74661	2.32739	0.329257	radar	1.11501	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
1477010446659755	8.37238	-6.62806	-2.74846	2.2967	0.280027	lidar	1.76681	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
1477010446714702	8.4615	-6.74648	-2.74568	2.30279	0.27077	radar	0.471247	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
1477010446769649	8.53061	-6.88873	-2.74577	2.28546	0.238485	lidar	0.758367	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
1477010446819646	8.60497	-6.99663	-2.73603	2.28536	0.225298	radar	0.682861	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
1477010446869643	8.65379	-7.14109	-2.73822	2.25443	0.183125	lidar	1.34293	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
1477010446919691	8.75888	-7.2565	-2.77466	2.27623	0.20339	radar	6.41073	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
1477010446969739	8.8116	-7.40729	-2.78209	2.24417	0.161239	lidar	1.46611	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
1477010447024687	8.88036	-7.53378	-2.75453	2.22805	0.129432	radar	5.1524	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
1477010447079636	8.93797	-7.68455	-2.75553	2.20134	0.0957883	lidar	0.84435	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
1477010447129681	9.0162	-7.80125	-2.76073	2.20316	0.0942966	radar	0.367057	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
1477010447179726	9.05878	-7.94871	-2.76377	2.16965	0.0564476	lidar	1.10902	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
1477010447234713	9.10139	-8.0767	-2.72359	2.13751	0.0107888	radar	7.45402	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
1477010447289701	9.15202	-8.22114	-2.72103	2.11343	-0.013637	lidar	0.546629	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
1477010447339681	9.22687	-8.34217	-2.73152	2.11634	-0.00690428	radar	0.562453	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
1477010447389662	9.25936	-8.48752	-2.73305	2.08199	-0.0402565	lidar	0.923526	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
1477010447444637	9.29852	-8.62497	-2.70622	2.04685	-0.0837699	radar	4.65672	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819
1477010447499613	9.33872	-8.76922	-2.70254	2.02132	-0.104429	lidar	0.500425	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899
1477010447549622	9.47791	-8.88439	-2.77283	2.09838	0.0102205	radar	32.2873	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928
1477010447599631	9.51357	-9.03873	-2.78341	2.06539	-0.0218975	lidar	1.05793	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928
1477010447649652	9.55761	-9.16533	-2.76758	2.04307	-0.0498033	radar	1.99534	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917
1477010447699673	9.59788	-9.30578	-2.77124	2.02076	-0.0689745	lidar	0.327331	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917
1477010447749669	9.63467	-9.43261	-2.75624	1.9967	-0.095634	radar	1.47489	9.47534	-9.42627	9.55	-9.5	0	-3.00023
1477010447799666	9.65224	-9.58478	-2.76138	1.95886	-0.127631	lidar	0.9294	9.54779	-9.64959	9.55	-9.65	0	-3.0002
1477010447849716	9.71854	-9.71623	-2.77612	1.96633	-0.107214	radar	1.26283	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997
1477010447899766	9.73675	-9.86872	-2.78231	1.93147	-0.135565	lidar	0.766842	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997
1477010447954720	9.75343	-10.014	-2.76	1.88906	-0.182351	radar	3.61564	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969
1477010448009675	9.78702	-10.1595	-2.75715	1.87044	-0.190892	lidar	0.15119	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969
1477010448059664	9.82585	-10.2961	-2.75882	1.85656	-0.197132	radar	0.554072	9.92627	-10.4745	9.75	-10.3	0	-3.00065
1477010448109654	9.83565	-10.4431	-2.7623	1.82479	-0.218041	lidar	0.448491	9.75524	-10.4732	9.75	-10.45	0	-3.00063
1477010448164710	9.87896	-10.5876	-2.7662	1.82273	-0.202783	radar	0.846307	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451
1477010448219767	9.89921	-10.7422	-2.76775	1.79913	-0.214617	lidar	0.149979	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448
1477010448274697	9.90396	-10.8927	-2.75448	1.7571	-0.256149	radar	2.2032	9.88465	-10.9383	9.85	-10.9	0	-2.73074
1477010448329628	9.90793	-11.0474	-2.75453	1.72702	-0.271495	lidar	0.302089	9.83614	-11.041	9.85	-11.05	0	-2.73073
1477010448379634	9.92355	-11.1831	-2.7532	1.70995	-0.275405	radar	0.0693018	9.83952	-11.1692	9.85	-11.2	0	-2.99965
1477010448429641	9.917	-11.3293	-2.7571	1.67846	-0.291927	lidar	0.331368	9.84568	-11.3496	9.85	-11.35	0	-2.99961
1477010448479667	9.93078	-11.4687	-2.7595	1.66419	-0.290659	radar	0.0732583	9.87961	-11.5637	9.85	-11.5	0	-2.99843
1477010448529693	9.91527	-11.6153	-2.76351	1.63056	-0.308397	lidar	0.425687	9.83206	-11.6307	9.85	-11.65	0	-2.99843
1477010448579678	9.8405	-11.7537	-2.73586	1.52408	-0.43691	radar	16.8492	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061
1477010448629664	9.81536	-11.8876	-2.73244	1.49129	-0.447658	lidar	0.332886	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059
1477010448679644	9.78892	-12.0217	-2.72874	1.45517	-0.465996	radar	0.323664	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119
1477010448729625	9.74497	-12.1604	-2.73098	1.41433	-0.482203	lidar	0.483027	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116
1477010448779630	9.67187	-12.2931	-2.72328	1.33114	-0.566357	radar	5.79605	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981
1477010448829636	9.62023	-12.4177	-2.71805	1.29161	-0.577538	lidar	0.522273	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979
1477010448879685	9.49368	-12.5331	-2.70651	1.16373	-0.716353	radar	13.2007	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805
1477010448929734	9.42361	-12.6449	-2.69867	1.11817	-0.726593	lidar	0.661854	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804
1477010448984693	9.33805	-12.7717	-2.69758	1.05673	-0.756956	radar	0.583766	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953
1477010449039652	9.25553	-12.8826	-2.68571	1.00862	-0.765172	lidar	0.805065	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954
1477010449089745	9.07542	-12.9628	-2.69095	0.836662	-0.956578	radar	23.7142	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629
1477010449139839	8.95537	-13.0477	-2.68857	0.769895	-0.974037	lidar	1.17669	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627
1477010449194745	8.80171	-13.1258	-2.69396	0.659943	-1.0529	radar	3.77124	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651
1477010449249651	8.67813	-13.1913	-2.67983	0.593327	-1.06433	lidar	1.13005	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651
1477010449299701	8.52433	-13.2381	-2.69073	0.481778	-1.14812	radar	4.38622	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005
1477010449349751	8.3944	-13.2781	-2.68219	0.412822	-1.1606	lidar	0.842688	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995
1477010449404748	8.20991	-13.2928	-2.70107	0.2731	-1.26995	radar	7.93412	8.22926	-13.1698	8.2	-13.15	-2.72741	0
1477010449459745	8.0591	-13.3028	-2.69005	0.188924	-1.28602	lidar	1.2195	8.03583	-13.1513	8.05	-13.15	-2.72742	0
1477010449514693	7.89796	-13.305	-2.69501	0.0927144	-1.32003	radar	1.35682	7.82914	-13.0525	7.9	-13.15	-2.72986	0
